measurement_time	Y	X	Z
6716622361598703616	0.7341	0.513672	0.134644
6716622383120784384	0.731995	0.51062	0.134613
6716622404750239744	0.731476	0.508789	0.134644
6716622427827099648	0.732574	0.508881	0.134613
6716622448988402688	0.729126	0.505676	0.134705
6716622470514779136	0.732483	0.510315	0.134674
6716622492049744896	0.732208	0.51297	0.134308
6716622513215343616	0.731323	0.510345	0.134491
6716622535862706176	0.733887	0.510864	0.134644
6716622558638917632	0.731079	0.510284	0.134491
6716622580027854848	0.730988	0.509125	0.134552
6716622601653015552	0.729095	0.507751	0.134583
6716622622925988864	0.731354	0.509827	0.134644
6716622644606983168	0.734283	0.512665	0.134552
6716622667464799232	0.732605	0.510193	0.134552
6716622689248873472	0.731171	0.509888	0.134644
6716622712042264576	0.734528	0.513214	0.134399
6716622733560050688	0.732239	0.510193	0.134644
6716622754897448960	0.731415	0.508026	0.134766
6716622776466774016	0.730591	0.510681	0.134552
6716622797739747328	0.731476	0.511719	0.134583
6716622819094325248	0.732574	0.512177	0.134369
6716622840539096064	0.732086	0.511658	0.13446
6716622862168551424	0.731506	0.508331	0.134644
6716622885129447424	0.733185	0.509308	0.134521
6716622907252824064	0.732086	0.512695	0.134521
6716622929814286336	0.733246	0.509338	0.13446
6716622951087259648	0.73288	0.509094	0.134583
6716622972931463168	0.731171	0.511139	0.134644
6716622995626071040	0.732635	0.510223	0.134766
6716623017629188096	0.732117	0.508789	0.134705
6716623038902161408	0.731079	0.510071	0.134583
6716623060407062528	0.732178	0.50946	0.134583
6716623082831086592	0.730591	0.508179	0.134644
6716623105091902464	0.732361	0.51181	0.134552
6716623127382781952	0.733002	0.509552	0.134491
6716623150064504832	0.73175	0.510468	0.134521
6716623172037557248	0.734497	0.513519	0.134369
6716623194899667968	0.734039	0.513306	0.134521
6716623216975800320	0.735229	0.513733	0.13443
6716623239167896576	0.735077	0.510315	0.134674
6716623261548971008	0.733124	0.511169	0.134735
6716623283964404736	0.734406	0.510712	0.134644
6716623306379839488	0.732391	0.509247	0.134705
